name,ra,dec,priority,type
3DHST_Q_34419,189.311828,62.320264,5,TARGET
3DHST_Q_36530,189.275620,62.340723,5,TARGET
3DHST_Q_38102,189.339219,62.375874,5,TARGET
3DHST_Q_542,189.099532,62.115753,1528,TARGET
3DHST_Q_1184,189.206958,62.129700,1528,TARGET
3DHST_Q_2265,189.064897,62.142943,1528,TARGET
3DHST_Q_2313,189.035856,62.142347,1528,TARGET
3DHST_Q_2484,189.086981,62.144791,1528,TARGET
3DHST_Q_2639,189.273663,62.145753,1528,TARGET
3DHST_Q_2684,189.091908,62.147403,1528,TARGET
3DHST_Q_2913,189.055170,62.147938,1528,TARGET
3DHST_Q_3133,189.086191,62.151829,1528,TARGET
3DHST_Q_3538,189.023467,62.152145,1528,TARGET
3DHST_Q_3735,189.076623,62.153706,1528,TARGET
3DHST_Q_3843,189.080112,62.156364,1528,TARGET
3DHST_Q_4108,189.127835,62.158033,1528,TARGET
3DHST_Q_4748,189.063398,62.162352,1528,TARGET
3DHST_Q_4907,188.984220,62.164231,1528,TARGET
3DHST_Q_6732,189.148788,62.175733,1528,TARGET
3DHST_Q_8339,189.316283,62.183289,1528,TARGET
3DHST_Q_8560,189.388808,62.184306,1528,TARGET
3DHST_Q_8912,189.065631,62.186165,1528,TARGET
3DHST_Q_9533,189.027871,62.189327,1528,TARGET
3DHST_Q_9861,189.317228,62.191831,1528,TARGET
3DHST_Q_10145,189.352801,62.192151,1528,TARGET
3DHST_Q_10256,189.182918,62.192832,1528,TARGET
3DHST_Q_11397,189.188911,62.198482,1528,TARGET
3DHST_Q_12115,189.297027,62.201657,1528,TARGET
3DHST_Q_12406,189.314398,62.203299,1528,TARGET
3DHST_Q_12641,189.172879,62.204168,1528,TARGET
3DHST_Q_12739,189.254053,62.204662,1528,TARGET
3DHST_Q_13041,188.934519,62.206753,1528,TARGET
3DHST_Q_13191,189.217041,62.207326,1528,TARGET
3DHST_Q_13220,189.064923,62.206913,1528,TARGET
3DHST_Q_14079,188.971217,62.211205,1528,TARGET
3DHST_Q_14346,189.306220,62.212673,1528,TARGET
3DHST_Q_14945,189.359384,62.215357,1528,TARGET
3DHST_Q_15038,189.235729,62.215953,1528,TARGET
3DHST_Q_15439,189.357565,62.217933,1528,TARGET
3DHST_Q_15529,189.408089,62.219165,1528,TARGET
3DHST_Q_15616,189.238403,62.218809,1528,TARGET
3DHST_Q_15786,189.409806,62.219767,1528,TARGET
3DHST_Q_16002,189.407737,62.220342,1528,TARGET
3DHST_Q_16559,189.382860,62.223361,1528,TARGET
3DHST_Q_17070,189.268086,62.226445,1528,TARGET
3DHST_Q_17746,189.049436,62.228979,1528,TARGET
3DHST_Q_17969,188.991473,62.230509,1528,TARGET
3DHST_Q_18000,189.024326,62.230651,1528,TARGET
3DHST_Q_18603,189.240868,62.233496,1528,TARGET
3DHST_Q_18838,188.986425,62.235108,1528,TARGET
3DHST_Q_19263,188.969179,62.236086,1528,TARGET
3DHST_Q_20432,189.362767,62.242309,1528,TARGET
3DHST_Q_21156,189.239409,62.247548,1528,TARGET
